Customer Name,Contact Person,Email,Mobile No,Phone No,Website,Tax Number,Billing Address,Billing City,Billing Country,Shipping Address,Shipping City,Shipping Country,Description
Ali Traders,Ali Raza,ali@alitraders.pk,2134567890,2134567890,www.alitraders.pk,12345671,"Plot 12, Shahrah-e-Faisal",Karachi,Pakistan,"Plot 12, Shahrah-e-Faisal",Karachi,Pakistan,Regular Customer
Khan Enterprises,Ahmed Khan,ahmed@khanent.pk,4235678901,4235678901,www.khanent.pk,23456782,45 Model Town,Lahore,Pakistan,45 Model Town,Lahore,Pakistan,Wholesale Client
Punjab Supplies,Usman Malik,usman@punjabsup.pk,4236789012,4236789012,www.punjabsup.pk,34567893,78 Canal Road,Lahore,Pakistan,78 Canal Road,Lahore,Pakistan,Retail Customer
Islamabad Services,Sara Ahmed,sara@isbservices.pk,512345678,512345678,www.isbservices.pk,45678904,Blue Area F-6,Islamabad,Pakistan,Blue Area F-6,Islamabad,Pakistan,Corporate Client
Peshawar Mart,Hamza Shah,hamza@peshawarmart.pk,913456789,913456789,www.peshawarmart.pk,56789015,University Road,Peshawar,Pakistan,University Road,Peshawar,Pakistan,Local Store
Quetta Traders,Bilal Khan,bilal@quettatraders.pk,814567890,814567890,www.quettatraders.pk,67890126,Jinnah Road,Quetta,Pakistan,Jinnah Road,Quetta,Pakistan,Distributor
Faisalabad Textiles,Ayesha Noor,ayesha@fstextiles.pk,412345678,412345678,www.fstextiles.pk,78901237,D Ground,Faisalabad,Pakistan,D Ground,Faisalabad,Pakistan,Textile Client
Multan Foods,Imran Qureshi,imran@multanfoods.pk,613456789,613456789,www.multanfoods.pk,89012348,Cantt Area,Multan,Pakistan,Cantt Area,Multan,Pakistan,Food Supplier
Sialkot Sports,Naveed Iqbal,naveed@sialkotsports.pk,522345678,522345678,www.sialkotsports.pk,90123459,Paris Road,Sialkot,Pakistan,Paris Road,Sialkot,Pakistan,Export Customer
Hyderabad Electronics,Farhan Ali,farhan@hydelec.pk,223456789,223456789,www.hydelec.pk,1234560,Auto Bhan Road,Hyderabad,Pakistan,Auto Bhan Road,Hyderabad,Pakistan,Electronics Retailer
